상호명,대표주소,네이버플레이스,이미지,지역_시도,지역_시군구,지역_읍면동,식당유형_대,식당유형_세부,주요리_대표,검색태그,네이버검색어,,
들밥차반 신사점,서울 강남구 선릉로 822 지하 1층,https://map.naver.com/p/entry/place/1681547627,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251209_12%2F1765259337016lzfuF_PNG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF%25B1%25CD%25BA%25F3%25C7%25D5%25BC%25BA_00000_00000_00000.png,서울,강남구,신사동,한정식,고기/구이,평일점심특선 생선구이정식/평일점심특선 한돈보쌈정식/평일점심특선 쭈꾸미볶음정식/황금어장 모듬구이 한상차반/코다리옹심이찜 한상차반/낙지&소면 한상차반/투뿔 한우불고기 한상차반/연평도꽃게장 한상차반/낙지&보쌈 한상차반/스페셜 한상차반,"면,족발/보쌈,한우,낙지,보쌈,고기/구이,한정식",서울 성동구 성수동 솥밥,,
한미옥,서울 강남구 봉은사로29길 12 2층,https://map.naver.com/p/entry/place/1034494104,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240122_208%2F1705902831450HuVI6_JPEG%2Fimage.jpg,서울,강남구,청담동,"육류,고기요리",고기/구이,한세트/미세트/옥세트/차돌구절판(소)/(신메뉴 이벤트)숯불 돼지갈비 (中)/경탁주/1++한우등심 불고기/한우곱창전골/채끝등심숯불구이/특안심숯불구이,"한우,육류,고기요리,탕,갈비,고기/구이",서울 성동구 옥수동 솥밥,,
은우 논현점,서울 강남구 논현로 404 101호 뼈탄집 강남역삼점,https://map.naver.com/p/entry/place/1515047661,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20251119_217%2F1763540659680OD3IQ_JPEG%2F15.jpg,서울,강남구,논현동,한식,고기/구이,"은우 한상차림(3인) *당일예약불가/은우 반상차림(2인) *당일예약불가/은우 모듬 A (2인~3인)/은우 모듬 B (4~5인)/은우 바 코스/꽃살100g(새우살,살치살)/안심100g/꽃등심100g/채끝 등심100g/알등심100g","한식,고기/구이",서울 서초구 서초동 솥밥,,
뼈탄집 강남역삼점,서울 강남구 선릉로93길 18 2층,https://map.naver.com/p/entry/place/1258650475,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20251226_161%2F1766745941312ODwaW_JPEG%2F%25BB%25E7%25C0%25CC%25C1%25EE_%25C1%25D9%25C0%25CC%25B1%25E2_-_%25BA%25B9%25BB%25E7%25BA%25BB_%25BA%25B9%25BB%25E7.jpg,서울,강남구,역삼동,"육류,고기요리",고기/구이,숙성뼈탄삼겹살/매운직화 뼈구이/숙성삼겹살/숙성목살/숙성가브리살/숙성 항정살/[점심특선]삼겹 솥밥정식(2인분)/[점심특선]특선제육정식(1인분)/[점심특선]특선돼지김치전골(1인분)/계탄밥,"육류,고기요리,삼겹살,탕,고기/구이",서울 서초구 서초동 솥밥,,
바오로흑염소 선릉점,서울 강남구 봉은사로114길 12 대웅제약본사 지하1층 식당가,https://map.naver.com/p/entry/place/1869427228,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240502_125%2F1714617520969ETou3_JPEG%2F%25B0%25A5%25BA%25F1%25BC%25F6%25C0%25B0_%25281%2529.jpg,서울,강남구,역삼동,한식,고기/구이,갈비수육 (1人)/수육(1人)/갈비전골(1人)/전골(1人)/흑염소 버섯불고기전골/바오로한마리코스 (1人)/수육세트 (1人)/전골세트 (1人)/바오로정식 (1人)/흑염소등심튀김샐러드,"한식,탕,갈비,고기/구이",서울 강남구 개포동 솥밥,,
온가솥밥 삼성점,서울 강남구 도곡로 426 2층,https://map.naver.com/p/entry/place/1972533448,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250509_14%2F1746753391776bVxSx_JPEG%2FIMG_1075.jpg,서울,강남구,삼성동,한식,정식/백반,,"백반/정식,한식,백반,정식/백반",서울 송파구 신천동 솥밥,,
금돈옥 대치점,서울 강남구 테헤란로78길 16 노벨빌딩 지하1층,https://map.naver.com/p/entry/place/1873308832,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240430_13%2F17144397481344h69a_PNG%2F%25B1%25DD%25B5%25B7%25BF%25C1_%25C3%25BB%25B4%25E3.png,서울,강남구,대치동,"육류,고기요리",고기/구이,금돈 양념 本 갈비 (250g)/금돈 생 갈비 (200g)/한우1++ 등심 참숯불고기(130g)/점심 특선 금돈 本 양념 갈비 한상/점심 특선 금돈 생갈비 한상/금돈 등심꽃살 (180g)/금돈 삼겹살 ( 180g)/금돈 꽃 목살 (180g)/금돈 생고기모둠 한판 (700g)/한우1++ 깍뚝 등심 (130g),"한우,육류,고기요리,삼겹살,갈비,고기/구이",서울 강남구 개포동 솥밥,,
일품진진수라 선릉점,서울 강남구 봉은사로114길 12,https://map.naver.com/p/entry/place/1149787788,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250627_242%2F1751010209567zF4Ug_JPEG%2Fimg_sub1-1.jpg,서울,강남구,대치동,한정식,고기/구이,점심특선/간장게장반상/오분자기뚝배기 반상/보리굴비 반상/황태구이 반상/전복갈비탕 반상/능이버섯갈비탕 반상/갈비탕 반상/특전복매운갈비찜 반상/특전복갈비찜 반상,"탕,갈비,고기/구이,한정식",서울 강남구 개포동 솥밥,,
죽이야기 대웅제약본관점,서울 강남구 압구정로80길 37 이에스 빌딩 4층,https://map.naver.com/p/entry/place/2089807234,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260122_86%2F1769043384524MJ3l4_JPEG%2FKakaoTalk_20260120_094506251.jpg,서울,강남구,삼성동,죽,고기/구이,제육솥밥/뚝배기불고기솥밥/통전복죽/치즈불고기낙지죽/강된장야채솥밥/불참치야채솥밥/직화불고기솥밥/매콤해물솥밥/곱대창솥밥/설렁탕솥밥,"죽,낙지,탕,곰탕/설렁탕,고기/구이",서울 송파구 신천동 솥밥,,
권숙수,서울 강남구 테헤란로 129 지하2층,https://map.naver.com/p/entry/place/37020894,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230729_288%2F1690607326115d3jg8_JPEG%2F230630_%25B1%25C7%25BC%25F7%25BC%25F612923_copy.jpg,서울,강남구,청담동,한식,정식/백반,DINNER/LUNCH,"백반/정식,한식,백반,정식/백반",서울 성동구 옥수동 솥밥,,
